<<<<<<< HEAD
-1.5,	-1.5,	1
-0.75,	-1.5,	0
0,	-1.5,	0
0.75,	-1.5,	0
1.5,	-1.5,	0
-1.5,	-0.75,	0
-0.75,	-0.75,	1
0,	-0.75,	0
0.75,	-0.75,	0
1.5,	-0.75,	0
-1.5,	0,	0
-0.75,	0,	0
0,	0,	1
0.75,	0,	0
1.5,	0,	0
-1.5,	0.75,	0
-0.75,	0.75,	0
0,	0.75,	0
0.75,	0.75,	1
1.5,	0.75,	0
-1.5,	1.5,	0
-0.75,	1.5,	0
0,	1.5,	0
0.75,	1.5,	0
1.5,	1.5,	1
=======
-1.5,	-1.5,	1
-0.75,	-1.5,	0
0,	-1.5,	0
0.75,	-1.5,	0
1.5,	-1.5,	0
-1.5,	-0.75,	0
-0.75,	-0.75,	1
0,	-0.75,	0
0.75,	-0.75,	0
1.5,	-0.75,	0
-1.5,	0,	0
-0.75,	0,	0
0,	0,	1
0.75,	0,	0
1.5,	0,	0
-1.5,	0.75,	0
-0.75,	0.75,	0
0,	0.75,	0
0.75,	0.75,	1
1.5,	0.75,	0
-1.5,	1.5,	0
-0.75,	1.5,	0
0,	1.5,	0
0.75,	1.5,	0
1.5,	1.5,	1
>>>>>>> 4ca226916dc6d810c7b68f9c6c8218f86b841690
