<<<<<<< HEAD
#rate		values					result
0.10,	-10000,	3000,	4200,	6800,			1188.4434123352
0.08,	8000,	9200,	10000,	12000,	14500,		41922.061554932
0.08,	8000,	9200,	10000,	12000,	14500,	-9000,	36250.534912984
0.05,	2000,	2400,	2900,	3500,	4100,		12678.677633095
=======
#rate		values					result
0.10,	-10000,	3000,	4200,	6800,			1188.4434123352
0.08,	8000,	9200,	10000,	12000,	14500,		41922.061554932
0.08,	8000,	9200,	10000,	12000,	14500,	-9000,	36250.534912984
0.05,	2000,	2400,	2900,	3500,	4100,		12678.677633095
>>>>>>> 4ca226916dc6d810c7b68f9c6c8218f86b841690
