<<<<<<< HEAD
TRUE
NULL,	TRUE
-1,	FALSE
0,	TRUE
1,	FALSE
2,	FALSE
-1.5,	FALSE
1.5,	FALSE
"-1",	"#VALUE!"
"0",	"#VALUE!"
"1",	"#VALUE!"
"2",	"#VALUE!"
"-1.5",	"#VALUE!"
"1.5",	"#VALUE!"
"",	"#VALUE!"
"ABC",	"#VALUE!"
"FALSE",TRUE
"TRUE",	FALSE
TRUE,	FALSE
FALSE,	TRUE
=======
TRUE
NULL,	TRUE
-1,	FALSE
0,	TRUE
1,	FALSE
2,	FALSE
-1.5,	FALSE
1.5,	FALSE
"-1",	"#VALUE!"
"0",	"#VALUE!"
"1",	"#VALUE!"
"2",	"#VALUE!"
"-1.5",	"#VALUE!"
"1.5",	"#VALUE!"
"",	"#VALUE!"
"ABC",	"#VALUE!"
"FALSE",TRUE
"TRUE",	FALSE
TRUE,	FALSE
FALSE,	TRUE
>>>>>>> 4ca226916dc6d810c7b68f9c6c8218f86b841690
